Question,SQL Query
"""List all staff members who joined after January 1, 2020.""",SELECT * FROM Staff WHERE Join_Date > '2020-01-01';
"""Show me the staff names and their email addresses.""","SELECT Name, Email FROM Staff;"
"""How many staff members have a Ph.D.?""",SELECT COUNT(*) FROM Staff WHERE Qualification = 'Ph.D.';
"""Retrieve the details of staff members with a salary greater than 50000.""",SELECT * FROM Staff WHERE Salary > 50000;
"""Get the name and salary of the staff member with the highest salary.""","SELECT Name, Salary FROM Staff ORDER BY Salary DESC LIMIT 1;"
"""Which staff members have been with the organization the longest?""",SELECT * FROM Staff ORDER BY Join_Date ASC LIMIT 5;
"""Count the number of staff members by their designation.""","SELECT Designation, COUNT(*) FROM Staff GROUP BY Designation;"
"""List all staff members along with their respective branches.""","SELECT Name, Branch FROM Staff;"
"""Find the average salary of all staff members.""",SELECT AVG(Salary) FROM Staff;
"""Show staff members who have not been assigned to any branch.""",SELECT * FROM Staff WHERE Branch IS NULL;
"""Get the total number of staff members for each branch.""","SELECT Branch, COUNT(*) FROM Staff GROUP BY Branch;"
"""List the staff who have a Master’s degree.""",SELECT * FROM Staff WHERE Qualification = 'Master’s';
"""Show the details of staff members whose names start with 'A'.""",SELECT * FROM Staff WHERE Name LIKE 'A%';
"""Count how many staff members have a management position.""",SELECT COUNT(*) FROM Staff WHERE Designation LIKE '%Manager%';
"""List the names and phone numbers of all staff.""","SELECT Name, Phone_Number FROM Staff;"
"""Retrieve the staff members who are currently inactive.""",SELECT * FROM Staff WHERE Status = 'Inactive';
"""Get the names of staff members along with their hire dates.""","SELECT Name, Join_Date FROM Staff;"
"""How many staff members have joined this year?""",SELECT COUNT(*) FROM Staff WHERE YEAR(Join_Date) = YEAR(CURRENT_DATE);
"""Find all staff members who have been promoted in the last year.""","SELECT * FROM Staff WHERE Promotion_Date > DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR);"
"""List the staff members by their join date in descending order.""",SELECT * FROM Staff ORDER BY Join_Date DESC;
